pr_number,state,additions,deletions,changed_files,analysis_time_hours,description_length,participants_count,comments_count,repo
2595,merged,0,0,0,31.409166666666668,1106,1,1,skylot/jadx
2592,merged,0,0,0,92.75583333333333,454,1,1,skylot/jadx
2581,merged,0,0,0,9.401944444444444,56,1,1,skylot/jadx
2557,merged,0,0,0,4.961666666666667,483,1,2,skylot/jadx
2542,merged,0,0,0,9.794444444444444,11,1,1,skylot/jadx
2538,merged,0,0,0,20.78472222222222,488,1,1,skylot/jadx
2537,merged,0,0,0,31.101388888888888,94,1,1,skylot/jadx
2533,merged,0,0,0,8.143611111111111,537,1,1,skylot/jadx
2528,merged,0,0,0,2.788611111111111,901,1,1,skylot/jadx
2527,merged,0,0,0,45.14333333333333,409,4,6,skylot/jadx
2525,merged,0,0,0,2.0808333333333335,68,1,1,skylot/jadx
2515,merged,0,0,0,1.8652777777777778,9,2,2,skylot/jadx
2513,merged,0,0,0,20.135555555555555,272,1,2,skylot/jadx
2510,merged,0,0,0,1.1975,505,2,7,skylot/jadx
2509,merged,0,0,0,5.361666666666666,384,1,2,skylot/jadx
2506,merged,0,0,0,1.4355555555555555,330,1,1,skylot/jadx
2505,merged,0,0,0,19.350555555555555,245,1,1,skylot/jadx
2503,merged,0,0,0,12.491944444444444,338,1,3,skylot/jadx
2500,merged,0,0,0,49.24194444444444,77,2,4,skylot/jadx
2498,merged,0,0,0,11.32611111111111,880,1,1,skylot/jadx
2495,merged,0,0,0,22.160833333333333,299,3,9,skylot/jadx
2494,merged,0,0,0,4.25,280,2,2,skylot/jadx
2492,merged,0,0,0,21.95888888888889,261,3,7,skylot/jadx
2490,merged,0,0,0,119.25555555555556,175,2,4,skylot/jadx
2487,merged,0,0,0,17.75722222222222,315,3,5,skylot/jadx
2484,merged,0,0,0,2.675,63,1,1,skylot/jadx
2483,merged,0,0,0,19.7375,304,1,1,skylot/jadx
2481,merged,0,0,0,22.697222222222223,19,1,1,skylot/jadx
2480,merged,0,0,0,5.651111111111111,388,1,2,skylot/jadx
2477,merged,0,0,0,8.371944444444445,564,2,3,skylot/jadx
2475,merged,0,0,0,72.30166666666666,2132,2,5,skylot/jadx
2474,merged,0,0,0,19.53638888888889,353,2,4,skylot/jadx
2469,merged,0,0,0,354.0425,508,5,14,skylot/jadx
2460,merged,0,0,0,28.47888888888889,263,3,9,skylot/jadx
2458,merged,0,0,0,2.4455555555555555,295,1,2,skylot/jadx
2452,merged,0,0,0,6.723888888888889,237,1,1,skylot/jadx
2419,merged,0,0,0,3.962222222222222,626,1,2,skylot/jadx
2410,merged,0,0,0,672.4825,43,4,38,skylot/jadx
2404,merged,0,0,0,1.9625,1023,3,7,skylot/jadx
2403,merged,0,0,0,2.352777777777778,130,1,2,skylot/jadx
2389,merged,0,0,0,21.80027777777778,292,1,1,skylot/jadx
2388,merged,0,0,0,2.9477777777777776,693,2,3,skylot/jadx
2385,merged,0,0,0,5.075833333333334,2273,1,2,skylot/jadx
2379,merged,0,0,0,2.0452777777777778,79,1,2,skylot/jadx
2376,merged,0,0,0,22.510833333333334,19,2,3,skylot/jadx
2372,merged,0,0,0,21.50638888888889,87,1,3,skylot/jadx
2369,merged,0,0,0,95.64055555555555,351,1,3,skylot/jadx
2367,merged,0,0,0,16.49138888888889,1066,1,1,skylot/jadx
2364,merged,0,0,0,11.118611111111111,830,1,1,skylot/jadx
2362,merged,0,0,0,19.394444444444446,2556,1,2,skylot/jadx
2361,merged,0,0,0,7.193888888888889,1032,1,1,skylot/jadx
2358,merged,0,0,0,18.34611111111111,601,1,1,skylot/jadx
